"id","order","score","weight","color","label"
"A",1.1,81,0.5,"#500000","Lung and bronchus"
"B",1.2,39,0.5,"#580000","Breast (female)"
"C",1.3,37.5,1,"#600000","Prostate"
"D",1.4,28.5,1,"#680000","Colorectum"
"E",1.5,21,1,"#700000","Pancreas"
"F",2.1,13.5,1,"#780000","Leukemia"
"G",2.2,13.5,1,"#800000","Ovary"
"H",3.1,12,0.5,"#880000","Non-Hodgkin lymphoma"
"I",3.2,10.5,0.5,"#900000","Liver and intrahepatic bile duct"
"J",3.3,9,0.5,"#980000","Urinary bladder"
"K",4.1,9,0.5,"#A00000","Uterine corpus"
"L",4.2,7.5,1,"#A80000","Brain and other nervous system"
"M",4.3,7.5,0.5,"#B00000","Kidney and renal pelvis"
"N",4.4,7.5,0.5,"#B80000","Esophagus"
"O",5.1,6,0.5,"#C00000","Myeloma"
"P",5.2,6,0.5,"#C80000","Stomach"
"Q",6.1,6,0.5,"#D00000","Melanoma of the skin"
"R",6.2,4.5,0.5,"#D80000","Oral cavity and pharynx"
"S",7.1,3,0.5,"#E00000","Cervix"
"T",7.2,1.5,0.5,"#E80000","Larynx"
"U",7.3,1.5,0.5,"#F00000","Thyroid"
"V",8.1,0.75,0.5,"#F80000","Hodgkin lymphoma"
"X",8.1,0.75,0.5,"#FF0000 ","Testis"
