Countries,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,1907,2484,2555,2268,2583,2560,2718,2746,2441,2146,2465,2485,2363,2246,2373,2087,1549,1641,1799,,,2057,2176,1894,,,,,,,, 
Anguilla,10,18,16,13,17,15,15,,11,20,11,13,10,4,9,,,,,4,4,13,15,8,2,8,8,10,10,11,11,7,,,, 
Antigua and Barbuda,131,88,97,,,69,83,94,65,70,96,79,77,70,87,71,68,,,65,85,52,62,60,65,71,34,65,47,65,,36,,,, 
Argentina,60401,59838,59125,57666,57880,57169,56646,57296,56845,56211,54913,54906,53304,53533,53342,53206,52845,51555,51324,48847,49192,47936,47375,47149,46058,45751,44671,43729,42516,42163,42260,42082,41122,42700,39680,40411
Armenia,5685,5589,5607,4637,4624,4578,4657,,4453,,,4356,4233,4128,3958,3964,3829,3654,3663,3384,3108,3501,3559,3568,3484,3138,3013,2949,2699,2743,,,2442,2359,, 
Aruba,162,126,145,135,144,133,142,157,125,117,125,140,130,102,57,107,,,,105,,,,,78,,,65,,,,,,,, 
Australia,43549,43499,42464,42683,42347,41004,41350,39364,38734,,38018,37445,37458,36709,35825,35079,35010,34290,34452,33381,33803,32522,31887,31188,30307,30419,29399,28678,27697,27353,26557,25690,24829,23812,23333,22138
Austria,20502,20097,20269,19992,19757,19642,19780,18966,19056,19124,19245,19231,18623,18487,18749,18710,18656,18845,18819,19154,19046,19521,19399,19317,19330,18988,18991,19083,18696,18837,19194,18826,19049,19163,19284, 
Azerbaijan,,,,,,,,5019,,,6024,6285,5852,5448,5073,5197,4933,4804,4698,4758,4985,4914,5072,4803,4804,5145,5744,5648,5678,5151,,,5054,4797,, 
Bahamas,,398,369,389,376,365,355,313,286,290,272,313,289,285,218,239,266,251,198,238,237,209,,,,,,267,,216,231,210,,158,172, 
Bahrain,279,228,250,241,229,213,249,229,246,261,255,264,274,238,235,222,242,220,,,,,,,,,154,123,,123,,,,,, 
Barbados,,533,502,526,515,527,508,433,478,520,485,505,444,381,460,,,,,429,416,480,469,424,415,451,413,407,411,362,358,353,290,332,325,332
Belarus,17068,17063,,17854,18181,17928,18164,17941,,,,18536,19171,19458,19438,19812,19556,19453,18956,19432,18789,18798,18807,18006,17544,17190,16354,15577,15071,14466,,,12856,12481,, 
Belgium,,27293,27033,27416,27368,27018,27241,26594,26152,26261,25782,25964,26429,26342,26324,26888,27483,27874,27611,28188,27818,27724,27388,27025,26923,27295,27279,26842,27220,27216,26953,27042,26821,26983,26268,26084
Belize,175,186,190,156,171,156,156,182,160,165,156,128,139,156,137,157,182,131,69,82,79,57,,51,55,62,,64,52,,52,61,46,,37, 
Bermuda,147,131,127,99,134,135,104,100,104,109,97,131,118,119,138,137,155,128,97,115,124,128,120,118,103,103,109,98,110,105,90,76,,,101, 
Bolivia,,,,,,,,,,,,1501,1537,1024,1092,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,7762,,,7161,,,,,,,,,,,,,,,,,,,,5368,5013,5269,5091,4748,4487,4430,,,,,, 
Brazil,198279,193167,187835,180986,175652,169056,164314,158585,153059,145427,139123,132980,128151,123836,119045,114196,109682,105928,101802,96317,93739,90299,87814,83537,80824,78503,77344,75065,72598,69795,67790,66157,63536,61696,59713,56296
British Virgin Islands,,,,,16,22,23,,15,,27,24,16,21,22,22,19,24,13,14,13,18,14,10,12,12,6,11,11,9,12,11,6,3,, 
Brunei Darussalam,298,295,280,256,252,215,201,215,220,215,218,156,178,172,185,158,148,141,121,,,,,,,,,,,,,,,,, 
Bulgaria,,18115,18157,16844,16562,17006,18017,17827,17549,17777,16179,15725,15785,15472,15285,15902,15723,15991,16198,16071,16161,15577,15490,15509,15042,15306,15084,15037,14737,14679,14388,14054,13732,13386,12291, 
Canada,,,74361,72477,71886,71125,70558,69595,67807,67343,66947,65990,65103,63774,62672,61650,60597,58703,59238,57810,57324,56192,54840,53964,52426,51300,50756,48617,47448,46333,44784,42865,41964,40414,39578,38584
Cabo Verde,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,48,,,32,42,45,30,50,36,39,32,17,37,40,29,26,22,30,23,22,28,21,22,14,27,35,18,18,17,22,,,,, 
Chile,25012,24593,24372,23672,23137,22636,21052,20685,20781,20480,19900,19699,19146,18394,18262,17886,17472,17000,16747,16429,15654,15408,14848,14628,14163,13694,13425,13081,12648,12655,12021,11969,11767,11476,11321, 
Colombia,,36287,34769,33054,33687,33055,32458,32196,31091,30693,30112,29860,28622,27363,27258,26426,24896,24654,23472,22559,22051,21431,20464,20648,19659,19688,18886,19369,18325,18579,16960,,,,, 
Costa Rica,4542,4418,4258,4154,4218,3568,3439,3385,3516,3353,3542,3381,3118,3327,3012,3051,2936,2792,2841,2767,2613,2563,2521,2323,2208,2358,2328,2243,2112,2093,1961,1853,1755,1555,1503, 
Croatia,13939,13788,13704,13645,13482,13315,13086,12682,12551,12640,12287,12373,12077,11725,11683,11540,11412,11046,10566,10425,10325,10375,10157,10476,10746,10482,10190,9707,9281,9321,,,,,, 
Cuba,23848,22982,22655,21817,22294,21399,21284,20441,19772,19180,18757,18313,17498,16823,16426,16421,15695,15201,15123,14623,14464,14037,14112,13642,13653,13240,12977,12315,12050,11800,11753,11202,10713,10694,10427,10099
Cyprus,,1250,1221,1133,1111,1140,1104,1069,989,979,975,,,,358,380,,,,,,,,,,,,,,,,,,,, 
Czech Republic,27050,27084,27334,27171,27836,27680,27571,27359,27895,28033,29168,29195,28709,28294,28539,28038,27866,27836,27742,28462,28052,27935,27866,28102,28175,27745,27893,27304,27558,,,,,,, 
Denmark,15304,15247,15506,15237,15329,14886,15145,15094,15626,15293,15209,14928,14968,15451,15478,15444,15184,15254,15216,15701,15649,,,,,,,,,,,,,,, 
Dominica,102,116,104,128,131,117,98,104,123,101,125,121,139,83,96,118,110,81,97,88,92,90,98,86,81,87,78,72,88,55,73,70,69,48,55,32
Dominican Republic,,,4296,4319,4150,3693,3466,3386,3499,3751,3735,3509,3310,3318,2917,3259,3107,2868,2499,2229,2105,,1920,1898,1928,1866,1777,1887,1639,1760,1843,1709,1590,1441,1254, 
Ecuador,9707,9609,9875,9464,9295,8809,8712,8368,8233,7845,7379,6863,6738,6815,6694,6655,6448,6346,6075,5821,5537,5529,5375,5256,5106,5058,4940,4738,4453,4516,4184,4048,4001,3627,3387,3217
Egypt,32864,32230,29877,28651,27692,26492,25177,23662,23689,23040,22486,21846,19980,18613,16316,,,,,,,,12512,11776,,,,10770,,,,,,,7808, 
El Salvador,,3795,3552,3559,3413,3456,3431,3455,3389,3399,3274,3225,3192,3110,2962,2734,2688,2745,2501,2053,,2097,2030,1868,1722,,,,,,1033,1003,1000,966,, 
Estonia,3811,3676,3649,3624,3550,3529,3543,3525,3533,3479,3463,3351,3426,3301,3365,3243,3407,3329,3284,3280,3272,3419,3324,3467,3152,3238,3099,2979,2947,2954,,,2773,2730,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,2,7
Fiji,,,646,674,,596,609,624,562,536,461,410,357,322,,,,,,,,,,,,,,,,,,,,,, 
Finland,11920,11898,11714,11583,11580,10996,10961,10848,10777,10593,10497,10426,10221,10326,10234,10188,10250,10155,10061,10042,9783,10075,9984,9626,9809,9757,9630,9543,,,,,,,, 
